upid,tgtplatethickness1,tgtwidth,steelspec,discharge,rm_time,fm_time,staying_time_pre,staying_time_1,staying_time_2,staying_time_soak,in_fce_time,cooltime,discharge_rm-fm
18901001000,0.0112,2.591,L485M,79.455,116.306,90.338,114,71,95,53,335,6.709,104.4
18901002000,0.0112,2.591,L485M,56.928,111.268,90.58,117,70,96,53,338,6.708,109.051
18901003000,0.0112,2.591,L485M,52.048,115.065,87.165,119,84,81,53,338,6.71,124.461
18901004000,0.0112,2.591,L485M,85.588,113.091,96.239,111,71,94,53,331,6.712,110.83
18901005000,0.0112,2.591,L485M,78.936,113.86,96.33,121,81,81,53,338,6.715,117.891
18901006000,0.0112,2.591,L485M,60.385,116.11,93.751,120,75,89,54,341,6.712,143.331
18901007000,0.0112,2.591,L485M,51.964,110.876,95.518,122,82,80,56,342,6.712,107.521
18901008000,0.0112,2.591,L485M,83.768,113.464,98.203,121,73,88,56,340,6.713,88.859
18901009000,0.0112,2.591,L485M,79.265,111.597,98.391,117,80,87,57,343,6.713,93.314
18901010000,0.0112,2.591,L485M,59.377,108.088,93.75,114,81,90,58,345,6.717,92.834
18901011000,0.0112,2.591,L485M,52.731,116.453,96.159,115,81,89,59,346,6.717,97.911
18901012000,0.0112,2.591,L485M,80.543,106.711,89.66,120,77,88,58,345,6.717,88.519
18901013000,0.0112,2.591,L485M,79.371,109.918,94.275,117,80,88,60,347,6.718,88.263
18901014000,0.0116,2.591,L485M,86.488,108.243,98.942,118,81,90,57,348,6.708,93.164
18901015000,0.0116,2.591,L485M,53.485,109.193,112.805,124,79,84,60,349,6.708,141.75
18901016000,0.0116,2.591,L485M,85.613,107.991,125.914,121,80,84,60,347,6.709,148.367
18901017000,0.0116,2.591,L485M,79.305,115.001,89.085,122,84,82,59,349,6.709,122.738
18901018000,0.0116,2.591,L485M,60.545,168.576,96.057,126,87,79,59,354,6.709,84.144
18901019000,0.0116,2.591,L485M,51.845,103.591,93.068,128,83,83,61,357,6.708,70.457
18901020000,0.0116,2.591,L485M,80.815,119.13,97.393,123,91,75,60,351,6.708,61.974
18901021000,0.0116,2.591,L485M,79.214,108.962,91.764,127,89,75,60,353,6.708,90.101
18901022000,0.0116,2.591,L485M,59.219,109.766,96.53,134,88,79,58,360,6.709,90.768
18901023000,0.0116,2.591,L485M,51.775,90.78,91.633,135,87,78,60,362,6.708,111.396
18901024000,0.0116,2.591,L485M,83.422,126.628,93.118,128,87,78,59,354,6.709,70.134
18901025000,0.0116,2.591,L485M,78.799,133.829,91.001,135,87,77,60,361,6.71,74.3
18901026000,0.0116,2.591,L485M,60.927,116.201,93.882,138,87,77,60,364,6.71,92.604
18901027000,0.0116,2.591,L485M,52.107,86.492,90.911,153,72,78,59,364,6.71,126.669
18901028000,0.0116,2.591,L485M,80.484,110.734,90.63,132,85,79,58,356,6.709,99.366
